frame,time_sec,face_detected,head_forward_x,head_forward_y,head_forward_z,gaze_rel_x,gaze_rel_y,gaze_rel_z,eye_yaw_proxy_deg,eye_pitch_proxy_deg,left_dx,right_dx,left_dy,right_dy,confidence
0,0.0,1,0.021669779792212254,-0.05396509353092256,0.9983076626591403,0.023105086652218287,-0.004722629340584836,0.9997218871980872,0.24055842723232948,-2.8137762256455843,-0.07230698532492252,0.05512424052261328,-0.22376588565591632,-0.05761173690864212,0.7832255667164147
1,0.07077641729775638,1,-0.04194705814705804,-0.041534763248785724,0.9982561333418767,0.06512117032068081,0.07625349651517105,0.9949596159871393,-5.374105832346774,-7.393938677651407,0.0860471073076627,0.2978175950028212,-0.4574413515990601,-0.28195251616608075,1.0
2,0.14155283459551277,1,-0.0412820616448117,-0.04759346187660301,0.9980133535043277,0.0749374634321037,0.08280638099238075,0.9937441722301101,-5.813158657687931,-8.180167190478766,0.0789722763315365,0.33625334207474433,-0.47237646383376847,-0.34564025521410807,1.0
3,0.21232925189326918,1,-0.040361325830721904,-0.035331223482130907,0.9985602976407795,0.008085864120607973,0.08623425804706047,0.996242074769228,-2.074428867153321,-7.213643157373223,0.012631999473635547,0.13554149103731594,-0.43953549458164093,-0.28182882115568136,1.0
4,0.28310566919102553,1,-0.08252331127254134,-0.05575040944650598,0.9950285397631378,0.0473153987780207,0.07229098529828311,0.9962606418418226,-6.652703592348569,-8.093674953119914,0.11687234738644367,0.35832076635273985,-0.4286234848673215,-0.38074401044466993,1.0
5,0.35388208648878194,1,-0.047473331409583715,-0.03644579207467777,0.9982073867914047,0.1180154027100981,0.08410700781737965,0.9894434677934767,-8.784964780359278,-7.852381078467719,0.22789877988596088,0.39959870442541606,-0.4165362807282003,-0.36870182711857163,1.0
6,0.42465850378653835,1,-0.04376863178894237,-0.050413744221623064,0.9977688917103402,0.12068197266937482,0.07412088230943024,0.9899201767204768,-8.667095030395561,-8.110446542268411,0.23134810231655573,0.38773011414027,-0.47181521473672045,-0.3392294394901205,1.0
7,0.4954349210842947,1,-0.05442434123451298,-0.058793913839785,0.9967854667763717,0.09739700559661407,0.03467209467261879,0.9946414776952679,-8.181118237346832,-6.161707623569898,0.17384076361376485,0.41052482476815166,-0.3104297712404601,-0.30574099111652964,1.0
8,0.5662113383820511,1,-0.0697827385695822,-0.05741598305032123,0.9959085170275904,0.0672658451367507,0.05866846785481332,0.9960086932138733,-7.119493464294706,-7.468798370204642,0.16399582496493753,0.3445394224846844,-0.4033734377675353,-0.34350639925292875,1.0
9,0.6369877556798075,1,-0.06774757369029975,-0.06213658427263126,0.9957656908901851,0.07062813001914048,0.050382652775694765,0.9962295195130905,-7.229605168475839,-7.260351420574107,0.16929782239847843,0.34710254677836716,-0.38160633403246386,-0.3444288080249469,1.0
10,0.7077641729775639,1,-0.05789247517879322,-0.06961313425814503,0.995892801890058,0.08604889940319668,0.041932110577800795,0.9954080997329636,-7.534802239394982,-7.259257312840837,0.19779355239779214,0.34040660755899227,-0.39597006055277034,-0.32995567073131327,1.0
11,0.7785405902753203,1,-0.056655942926905435,-0.06927378541939369,0.9959875736095963,0.09119177529488944,0.03493860409187693,0.9952202540456447,-7.736736406181709,-6.93851201074315,0.19785203952238947,0.35477198949058975,-0.41716211270732795,-0.276689088366987,1.0
12,0.8493170075730767,1,-0.06720404713569486,-0.05867186032881471,0.9960126650068961,0.08204697586039834,0.06174161974699303,0.9947141630353822,-7.68033001227066,-7.905139034544441,0.19248626967032162,0.356108731206154,-0.48563613579080217,-0.30487776766364205,1.0
13,0.9200934248708331,1,-0.06467666519157764,-0.05638573658349216,0.9963119881290365,0.09119098229776085,0.07147040051831831,0.9932654159877513,-7.998407425020401,-8.389786252250818,0.19072962631566376,0.380585189757222,-0.48682778487096245,-0.35215084035411937,1.0
14,0.9908698421685894,1,-0.06288754128731783,-0.0497023290969329,0.9967822408295485,0.09389537443090037,0.0852676764732685,0.9919239295476902,-7.998299080989725,-8.809747337817699,0.19657481837278756,0.3747322588407643,-0.496754086656275,-0.38422064712549486,1.0
15,1.0616462594663458,1,-0.062286888227782014,-0.04705072210779691,0.9969486311260147,0.09487725625057097,0.09195461611630587,0.991232896357494,-7.934033951859407,-9.096265844098445,0.19511789158476203,0.3715988192623385,-0.47115724546076787,-0.4384693389490767,1.0
16,1.1324226767641021,1,-0.0575006648475113,-0.04112029578715181,0.9974982680769282,0.09880249454161205,0.09318542608410783,0.9907343455426778,-7.926373166464135,-8.816685070164734,0.1959923377841149,0.3701771741061804,-0.45557946143041295,-0.4260890455860605,1.0
17,1.2031990940618587,1,-0.05011492422072114,-0.030534410290171118,0.9982765870031125,0.11052166067616598,0.09908446493129568,0.9889222574756124,-8.160642573867278,-8.634975558714022,0.21156175678825617,0.3713412842022637,-0.46641313135180096,-0.39708442451960124,1.0
